Batch ID,Entry ID,Entry Type,Super Category,Shipping Info,Dispatched Date,Product Cost,Agency Margin,Country
73684,1,New Product,Food,Shipped Full,2017-08-07 16:23:08,3.79,7.35,Portugal
73684,2,New Product,Food,Shipped Full,2017-08-07 16:23:08,3.79,7.35,Portugal
73684,3,New Product,Food,Shipped Full,2017-08-07 16:23:08,3.46,7.68,Portugal
73684,4,New Product,Beauty & Personal Care,Shipped Full,2017-08-07 16:23:08,3.79,7.35,Portugal
73684,5,New Product,Beauty & Personal Care,Shipped Full,2017-08-07 16:23:08,2.69,8.45,Portugal
73684,6,New Product,Beauty & Personal Care,Not Shipped,2017-08-07 16:23:08,1.35,9.79,Portugal
73684,7,New Product,Healthcare,Shipped Full,2017-08-07 16:23:08,0.99,10.15,Portugal
73684,8,New Product,Healthcare,Shipped Full,2017-08-07 16:23:08,1.49,9.65,Portugal
73684,9,New Product,Beauty & Personal Care,Shipped Full,2017-08-07 16:23:08,3.95,7.19,Portugal
73684,10,New Product,Healthcare,Shipped Full,2017-08-07 16:23:08,1.05,10.09,Portugal
73684,11,New Product,Food,Shipped Full,2017-08-07 16:23:08,0.99,10.15,Portugal
73684,12,New Product,Beauty & Personal Care,Empty Packaging,2017-08-07 16:23:08,9.99,1.15,Portugal
73684,13,New Product,Beauty & Personal Care,Shipped Full,2017-08-07 16:23:08,8.09,3.05,Portugal
73684,14,New Product,Beauty & Personal Care,Empty Packaging,2017-08-07 16:23:08,9.29,1.85,Portugal
73684,15,New Product,Beauty & Personal Care,Shipped Full,2017-08-07 16:23:08,11.49,-0.35,Portugal
73684,16,New Product,Healthcare,Shipped Full,2017-08-07 16:23:08,7.99,3.15,Portugal
73684,17,New Product,Food,Shipped Full,2017-08-07 16:23:08,3.99,7.15,Portugal
73684,18,New Product,Food,Empty Packaging,2017-08-07 16:23:08,5.49,5.65,Portugal
73684,19,New Product,Food,Shipped Full,2017-08-07 16:23:08,2.79,8.35,Portugal
73684,20,Variety,Food,Shipped Full,2017-08-07 16:23:08,2.79,4.95,Portugal
73684,21,Variety,Food,Shipped Full,2017-08-07 16:23:08,2.79,4.95,Portugal
73684,22,New Product,Healthcare,Shipped Full,2017-08-07 16:23:08,1.39,9.75,Portugal
73684,23,New Product,Beauty & Personal Care,Shipped Full,2017-08-07 16:23:08,2.79,8.35,Portugal
73684,24,New Product,Drink,Empty Packaging,2017-08-07 16:23:08,3.99,7.15,Portugal
